#cue,target,fsg,bsg,qfr,tfr,jcn,jcn_sensed
adventure,television,0.013,0,14,50,21.399987,21.45646857
adventure,trip,0.052,0,14,81,14.62801,20.93659311
adverb,adjective,0.274,0.152,1,2,3.42222,3.994918782
adverb,grammar,0.014,0,1,4,25.032542,24.45789887
adverb,noun,0.205,0,1,1,4.299097,4.331391019
adverb,pronoun,0.021,0.059,1,4,11.699054,11.19935411
adverb,proverb,0.021,0.041,1,5,16.847496,16.31289708
adverb,verb,0.158,0.027,1,4,2.832757,2.849786478
adverb,word,0.021,0,1,274,6.17044,15.99818633
adversary,competition,0.02,0,5,63,12.605095,12.60261078
adversary,enemy,0.197,0.01,5,88,0.213829,0.241162057
adversary,foe,0.053,0.021,5,8,0.213829,0.241162057
adversary,friend,0.086,0,5,133,11.447017,12.72118527
adversary,opponent,0.132,0.027,5,13,0,4.77E-09
adversary,person,0.013,0,5,175,6.678956,6.645773714
advertisement,ad,0.02,0.013,2,11,0,4.77E-09
advertisement,agency,0.013,0,2,56,15.35886,15.46682386
advertisement,article,0.013,0,2,68,11.531764,12.85805407
advertisement,business,0.013,0,2,392,14.50705,17.24771366
advertisement,car,0.013,0,2,274,16.588149,16.78960482
advertisement,commercial,0.125,0.204,2,61,1.646253,1.702147311
advertisement,magazine,0.079,0,2,39,18.951957,18.98682939
advertisement,money,0.013,0,2,265,11.989401,11.4134908
advertisement,newspaper,0.118,0,2,65,17.239299,16.94062649
advertisement,picture,0.013,0,2,162,10.075668,11.30483384
advertisement,product,0.046,0,2,87,14.563884,17.57772035
advertisement,sale,0.02,0,2,44,10.932546,18.09231246
advertisement,sign,0.02,0,2,94,7.163888,11.51605997
advertisement,television,0.138,0,2,50,18.751875,18.68387985
advice,choice,0.01,0,51,113,15.69563,16.14368252
advice,column,0.015,0,51,71,13.276157,14.94371726
advice,comment,0.01,0.013,51,42,9.165651,9.031621968
advice,counsel,0.077,0.027,51,12,9.273169,8.934995132
advice,friend,0.036,0,51,133,16.101245,17.32084757
advice,idea,0.01,0,51,195,12.961427,16.50348647
advice,mother,0.026,0,51,216,17.165614,17.41197297
advice,opinion,0.041,0.02,51,96,8.525803,8.177250691
advice,suggestion,0.031,0.095,51,34,2.345018,2.368706955
advice,word,0.015,0,51,274,9.177175,16.84281177
advil,aspirin,0.113,0.015,0,3,4.750143,4.92206426
advil,cramp,0.02,0,0,2,26.775195,26.07538112
advil,drug,0.013,0,0,24,9.283844,8.971194463
advil,hammer,0.02,0,0,9,25.549963,24.64029659
advil,headache,0.18,0,0,5,23.34376,26.27864587
