CUE,TARGET, FSG, BSG, QSS, TSS
ACROBAT,ROPE,0.019,0,19,21
ACROBAT,AIR,0.013,0,19,17
ACROBAT,FLEXIBLE,0.013,0,19,19
ACROBAT,HIGHWIRE,0.013, NA,19, NA
ACROBAT,OLYMPICS,0.013,0,19,20
ACROBAT,TIGHTROPE,0.013, NA,19, NA
ACROBAT,U2,0.013, NA,19, NA
ACT,PLAY,0.182,0,16,21
ACT,PRETEND,0.176,0.115,16,13
ACT,THEATER,0.101,0.014,16,15
ACT,DO,0.074,0.017,16,20
ACT,DRAMA,0.061,0.2,16,11
ACT,ACTOR,0.034,0,16,14
ACT,TEST,0.027,0,16,17
ACT,PERFORM,0.02,0.291,16,15
ACT,PORTRAY,0.02,0.247,16,15
ACT,SAT,0.02, NA,16, NA
ACT,TOUGH,0.02,0,16,15
ACT,FAIL,0.014,0,16,21
ACT,OUT,0.014,0,16,6
ACT,REAL,0.014,0,16,14
ACT,SING,0.014,0,16,17
ACT,SMART,0.014,0,16,14
ACTION,MOVEMENT,0.13,0.141,20,16
ACTION,REACTION,0.094,0.103,20,21
ACTION,MOVIE,0.087,0,20,21
ACTION,MOTION,0.058,0.036,20,16
ACTION,ADVENTURE,0.051,0.019,20,18
ACTION,RUN,0.051,0,20,10
ACTION,MOVE,0.043,0,20,27
ACTION,VERB,0.029,0.101,20,10
ACTION,CAMERA,0.022,0,20,8
ACTION,GO,0.022,0,20,14
ACTION,PACKED,0.022, NA,20, NA
ACTION,SUSPENSE,0.022,0.013,20,25
ACTION,TAKE,0.022,0,20,11
ACTION,DO,0.014,0.017,20,20
ACTION,EXCITING,0.014,0,20,15
ACTION,FAST,0.014,0,20,7
ACTION,FIGHT,0.014,0,20,24
ACTION,GAME,0.014,0,20,13
ACTION,SPEED,0.014,0,20,15
ACTION,STOP,0.014,0,20,8
ACTIVE,SPORTS,0.087,0,21,20
ACTIVE,BUSY,0.08,0,21,24
ACTIVE,ATHLETIC,0.06,0,21,20
ACTIVE,RUN,0.053,0,21,10
ACTIVE,ENERGY,0.047,0,21,22
ACTIVE,INACTIVE,0.047, NA,21, NA
ACTIVE,PASSIVE,0.047,0.118,21,16
ACTIVE,EXERCISE,0.04,0,21,28
ACTIVE,LAZY,0.033,0.02,21,19
ACTIVE,MOVING,0.027, NA,21, NA
ACTIVE,HYPER,0.02,0.295,21,19
ACTIVE,ALIVE,0.013,0,21,14
ACTIVE,BOY,0.013,0,21,10
ACTIVE,FIT,0.013,0,21,21
ACTIVE,HAPPY,0.013,0,21,8
ACTIVE,HEALTHY,0.013,0,21,19
ACTIVE,INVOLVED,0.013, NA,21, NA
ACTIVE,LIFESTYLE,0.013,0,21,16
ACTIVE,RUNNER,0.013,0,21,27
ACTIVE,RUNNING,0.013,0,21,17
ACTIVE,YOUNG,0.013,0,21,9
ACTIVITY,FUN,0.127,0,22,15
ACTIVITY,SPORT,0.127,0,22,12
ACTIVITY,BUSY,0.08,0,22,24
ACTIVITY,GAME,0.053,0,22,13
ACTIVITY,RUN,0.04,0,22,10
ACTIVITY,WORK,0.04,0,22,19
ACTIVITY,ENERGY,0.033,0,22,22
ACTIVITY,BASKETBALL,0.027,0,22,13
ACTIVITY,LAZY,0.027,0,22,19
ACTIVITY,MOVEMENT,0.027,0.014,22,16
ACTIVITY,ACTIVE,0.02,0,22,21
ACTIVITY,EXTRACURRICULAR,0.02, NA,22, NA
ACTIVITY,PLAY,0.02,0,22,21
ACTIVITY,SEX,0.02,0,22,15
ACTIVITY,EVENT,0.013,0,22,22
ACTIVITY,EXERCISE,0.013,0,22,28
ACTIVITY,HOBBY,0.013,0.027,22,29
ACTIVITY,JOB,0.013,0,22,7
ACTIVITY,SCHOOL,0.013,0,22,22
ACTIVITY,TENNIS,0.013,0,22,9
ACTIVITY,TIRED,0.013,0,22,14
ACTIVITY,VOLLEYBALL,0.013,0,22,16
ACTOR,ACTRESS,0.578,0.507,14,11
ACTOR,MOVIE,0.074,0.01,14,21
ACTOR,STAGE,0.074,0.095,14,19
ACTOR,TELEVISION,0.041,0,14,19
ACTOR,PLAY,0.027,0.013,14,21
ACTOR,THESPIAN,0.02, NA,14, NA
ACTOR,COMEDIAN,0.014,0.027,14,9
ACTOR,HOLLYWOOD,0.014, NA,14, NA
ACTOR,MALE,0.014,0,14,5
ACTOR,MAN,0.014,0,14,9
ACTOR,PERSON,0.014,0,14,14
