cue,target,fsg,bsg,msg,qcon,tcon,qfr,tfr,jcn,lsa
act,sing,.014,0.000,.0010,3.79,4.12,283,34,4.954665,0.076356
act,smart,.014,0.000,0.0000,3.79,3.00,283,21,10.948705,0.109354
act,test,.027,0.000,.0010,3.79,5.08,283,119,5.227419,0.032774
act,theater,.101,.014,.0090,3.79,,283,29,6.346587,0.148864
act,tough,.020,0.000,0.0000,3.79,4.00,283,36,13.003901,0.091366
action,adventure,.051,.019,0.0000,3.00,,291,14,10.054394,0.153008
action,camera,.022,0.000,0.0000,3.00,6.23,291,36,12.268283,0.127508
action,do,.014,.017,0.0000,3.00,2.72,291,1363,9.978745,0.163059
action,fast,.014,0.000,.0150,3.00,2.93,291,78,8.492930,0.105802
action,fight,.014,0.000,0.0000,3.00,4.16,291,98,1.330281,0.119325
action,game,.014,0.000,0.0000,3.00,4.72,291,123,5.717259,0.060729
action,go,.022,0.000,.0110,3.00,3.33,291,626,6.988853,0.069605
action,motion,.058,.036,.0220,3.00,3.63,291,55,1.539366,0.119565
action,move,.043,0.000,.0100,3.00,3.81,291,171,1.539366,0.133230
action,movement,.130,.141,.0130,3.00,4.03,291,128,1.178655,0.222635
action,movie,.087,0.000,.0020,3.00,5.85,291,29,11.901078,0.201892
action,reaction,.094,.103,0.0000,3.00,2.93,291,124,2.347473,0.117031
action,run,.051,0.000,.0120,3.00,4.51,291,212,4.921308,0.077791
action,speed,.014,0.000,.0020,3.00,3.56,291,83,6.005321,0.110198
action,stop,.014,0.000,.0160,3.00,2.93,291,120,6.571166,0.153738
action,suspense,.022,.013,0.0000,3.00,,291,6,13.307782,0.264931
action,take,.022,0.000,0.0000,3.00,3.20,291,611,7.045975,0.235090
action,verb,.029,.101,0.0000,3.00,3.17,291,4,15.716104,0.504751
active,boy,.013,0.000,.0010,,6.23,88,242,12.837959,0.029609
active,energy,.047,0.000,.0010,,3.44,88,100,15.633305,0.168544
active,exercise,.040,0.000,.0030,,4.62,88,58,17.104836,0.310689
active,fit,.013,0.000,.0030,,3.45,88,75,17.292960,0.201110
active,lifestyle,.013,0.000,0.0000,,,88,0,22.457779,0.090245
active,passive,.047,.118,0.0000,,,88,11,4.688342,0.556883
active,run,.053,0.000,.0020,,4.51,88,212,17.870546,0.136964
active,runner,.013,0.000,0.0000,,,88,1,14.860387,0.105356
active,running,.013,0.000,.0010,,4.40,88,123,18.180496,0.168098
active,young,.013,0.000,0.0000,,3.14,88,385,13.569442,0.181205
activity,active,.020,0.000,.0040,,,116,88,13.310794,0.483743
activity,basketball,.027,0.000,.0050,,5.88,116,9,9.028693,0.140097
activity,energy,.033,0.000,.0010,,3.44,116,100,1.192275,0.129918
activity,event,.013,0.000,0.0000,,3.72,116,81,3.679041,0.158942
activity,exercise,.013,0.000,.0020,,4.62,116,58,3.794044,0.419888
activity,fun,.127,0.000,.0160,,2.45,116,44,6.289902,0.101323
activity,game,.053,0.000,.0170,,4.72,116,123,3.731789,0.094530
activity,hobby,.013,.027,0.0000,,3.66,116,4,9.211072,0.160960
activity,job,.013,0.000,.0050,,4.11,116,238,2.411306,0.034941
activity,movement,.027,.014,0.0000,,4.03,116,128,3.524838,0.226732
activity,play,.020,0.000,.0280,,4.22,116,200,1.645386,0.180639
activity,run,.040,0.000,.0040,,4.51,116,212,5.012330,0.071817
activity,school,.013,0.000,.0030,,5.25,116,492,10.866376,0.109243
activity,sex,.020,0.000,.0020,,5.33,116,84,0.854475,0.169567
activity,sport,.127,0.000,.0070,,4.18,116,17,4.112383,0.277738
activity,tennis,.013,0.000,.0120,,5.54,116,15,8.205532,0.244701
activity,volleyball,.013,0.000,0.0000,,6.48,116,1,10.820520,0.198267
activity,work,.040,0.000,.0190,,3.88,116,760,1.640248,0.214995
actor,actress,.578,.507,.0010,5.45,,24,6,0.847032,0.568679
actor,comedian,.014,.027,0.0000,5.45,,24,5,2.982084,0.100585
actor,male,.014,0.000,0.0000,5.45,5.48,24,37,7.123471,0.002149
actor,man,.014,0.000,.0040,5.45,6.14,24,1207,7.609076,0.053606
actor,movie,.074,.010,.0450,5.45,5.85,24,29,14.920029,0.456034
actor,person,.014,0.000,0.0000,5.45,6.51,24,175,4.083433,0.066599
actor,play,.027,.013,.0130,5.45,4.22,24,200,13.268407,0.502541
actor,stage,.074,.095,0.0000,5.45,5.59,24,174,12.885602,0.635566
actor,star,.014,0.000,.0290,5.45,5.59,24,25,2.197223,0.024061
